"rt","key_press","block_duration","possible_responses","stim_duration","exp_stage","correct","correct_response","flanker_middle_direction","flanker_type","flanker_location","cue","trial_num","p","t","condition","experience","current","breath","group"
1017,37,1017,"37,39",1017,"test","true",37,"left","congruent","up","nocue",125,"10","1","Control","Low","Low","HIgh","Reading"
623,39,623,"37,39",623,"test","true",39,"right","neutral","up","spatial",126,"10","1","Control","Low","Low","HIgh","Reading"
879,39,879,"37,39",879,"test","true",39,"right","congruent","down","nocue",127,"10","1","Control","Low","Low","HIgh","Reading"
487,37,487,"37,39",487,"test","true",37,"left","congruent","up","spatial",128,"10","1","Control","Low","Low","HIgh","Reading"
552,39,552,"37,39",552,"test","true",39,"right","congruent","up","spatial",129,"10","1","Control","Low","Low","HIgh","Reading"
937,39,937,"37,39",937,"test","true",39,"right","incongruent","down","double",130,"10","1","Control","Low","Low","HIgh","Reading"
1412,37,1412,"37,39",1412,"test","true",37,"left","incongruent","down","nocue",131,"10","1","Control","Low","Low","HIgh","Reading"
694,39,694,"37,39",694,"test","true",39,"right","neutral","up","nocue",132,"10","1","Control","Low","Low","HIgh","Reading"
847,39,847,"37,39",847,"test","true",39,"right","congruent","up","nocue",133,"10","1","Control","Low","Low","HIgh","Reading"
989,39,989,"37,39",989,"test","true",39,"right","neutral","down","nocue",134,"10","1","Control","Low","Low","HIgh","Reading"
1085,37,1085,"37,39",1085,"test","true",37,"left","congruent","down","nocue",135,"10","1","Control","Low","Low","HIgh","Reading"
940,37,940,"37,39",940,"test","true",37,"left","congruent","down","spatial",137,"10","1","Control","Low","Low","HIgh","Reading"
977,37,977,"37,39",977,"test","true",37,"left","incongruent","down","double",138,"10","1","Control","Low","Low","HIgh","Reading"
1358,39,1358,"37,39",1358,"test","true",39,"right","incongruent","down","nocue",139,"10","1","Control","Low","Low","HIgh","Reading"
852,39,852,"37,39",852,"test","true",39,"right","incongruent","down","spatial",140,"10","1","Control","Low","Low","HIgh","Reading"
887,37,887,"37,39",887,"test","true",37,"left","neutral","up","nocue",141,"10","1","Control","Low","Low","HIgh","Reading"
721,37,721,"37,39",721,"test","true",37,"left","neutral","down","center",142,"10","1","Control","Low","Low","HIgh","Reading"
801,37,801,"37,39",801,"test","true",37,"left","congruent","up","double",143,"10","1","Control","Low","Low","HIgh","Reading"
746,37,746,"37,39",746,"test","true",37,"left","congruent","down","center",144,"10","1","Control","Low","Low","HIgh","Reading"
785,37,785,"37,39",785,"test","true",37,"left","neutral","down","center",1,"10","2","Control","Low","Low","HIgh","Reading"
677,37,677,"37,39",677,"test","true",37,"left","neutral","down","nocue",2,"10","2","Control","Low","Low","HIgh","Reading"
990,37,990,"37,39",990,"test","true",37,"left","incongruent","down","nocue",3,"10","2","Control","Low","Low","HIgh","Reading"
729,37,729,"37,39",729,"test","true",37,"left","congruent","down","center",4,"10","2","Control","Low","Low","HIgh","Reading"
613,37,613,"37,39",613,"test","true",37,"left","congruent","down","double",5,"10","2","Control","Low","Low","HIgh","Reading"
1166,39,1166,"37,39",1166,"test","true",39,"right","congruent","up","spatial",6,"10","2","Control","Low","Low","HIgh","Reading"
889,39,889,"37,39",889,"test","true",39,"right","incongruent","up","center",7,"10","2","Control","Low","Low","HIgh","Reading"
645,39,645,"37,39",645,"test","true",39,"right","neutral","up","spatial",8,"10","2","Control","Low","Low","HIgh","Reading"
721,39,721,"37,39",721,"test","true",39,"right","incongruent","up","double",9,"10","2","Control","Low","Low","HIgh","Reading"
751,37,751,"37,39",751,"test","true",37,"left","incongruent","up","nocue",10,"10","2","Control","Low","Low","HIgh","Reading"
1384,37,1384,"37,39",1384,"test","true",37,"left","congruent","down","nocue",11,"10","2","Control","Low","Low","HIgh","Reading"
806,37,806,"37,39",806,"test","true",37,"left","incongruent","down","center",12,"10","2","Control","Low","Low","HIgh","Reading"
544,37,544,"37,39",544,"test","true",37,"left","neutral","down","double",13,"10","2","Control","Low","Low","HIgh","Reading"
818,39,818,"37,39",818,"test","true",39,"right","incongruent","down","spatial",14,"10","2","Control","Low","Low","HIgh","Reading"
920,39,920,"37,39",920,"test","true",39,"right","congruent","down","double",15,"10","2","Control","Low","Low","HIgh","Reading"
847,37,847,"37,39",847,"test","true",37,"left","incongruent","down","double",16,"10","2","Control","Low","Low","HIgh","Reading"
1231,39,1231,"37,39",1231,"test","true",39,"right","congruent","up","nocue",17,"10","2","Control","Low","Low","HIgh","Reading"
735,37,735,"37,39",735,"test","true",37,"left","incongruent","up","double",18,"10","2","Control","Low","Low","HIgh","Reading"
771,37,771,"37,39",771,"test","true",37,"left","congruent","up","double",19,"10","2","Control","Low","Low","HIgh","Reading"
1069,39,1069,"37,39",1069,"test","true",39,"right","congruent","up","double",20,"10","2","Control","Low","Low","HIgh","Reading"
539,37,539,"37,39",539,"test","true",37,"left","neutral","up","double",21,"10","2","Control","Low","Low","HIgh","Reading"
711,39,711,"37,39",711,"test","true",39,"right","congruent","up","center",22,"10","2","Control","Low","Low","HIgh","Reading"
767,39,767,"37,39",767,"test","true",39,"right","neutral","up","double",23,"10","2","Control","Low","Low","HIgh","Reading"
1159,39,1159,"37,39",1159,"test","true",39,"right","incongruent","down","center",24,"10","2","Control","Low","Low","HIgh","Reading"
1252,39,1252,"37,39",1252,"test","true",39,"right","incongruent","down","double",25,"10","2","Control","Low","Low","HIgh","Reading"
813,39,813,"37,39",813,"test","true",39,"right","neutral","down","spatial",26,"10","2","Control","Low","Low","HIgh","Reading"
677,39,677,"37,39",677,"test","true",39,"right","congruent","down","spatial",27,"10","2","Control","Low","Low","HIgh","Reading"
756,37,756,"37,39",756,"test","true",37,"left","neutral","up","center",28,"10","2","Control","Low","Low","HIgh","Reading"
728,37,728,"37,39",728,"test","true",37,"left","congruent","up","center",29,"10","2","Control","Low","Low","HIgh","Reading"
569,37,569,"37,39",569,"test","true",37,"left","neutral","up","nocue",30,"10","2","Control","Low","Low","HIgh","Reading"
